Project code,Source name,RA,Dec,Galactic longitude,Galactic latitude,Band,Spatial resolution,Frequency resolution,Array,Mosaic,Integration,Release date,Frequency support,Velocity resolution,Pol products,Observation date,PI name,SB name,Proposal authors,Line sensitivity (10 km/s),Continuum sensitivity,PWV,Group ous id,Member ous id,Asdm uid,Project title,Project type,Scan intent,Field of view,Largest angular scale,QA2 Status,Pub,Science keyword,Scientific category,ASA_PROJECT_CODE
2013.1.00151.S,104623,150.12524166666665,2.0062055555555554,237.04582772835712,42.01047453122587,6,1.0270939280914098,31250.0,12m,,151.2,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",2.694438132929797,0.085996823655244,1.4870467,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.388321074748989,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,109921,149.97614166666668,2.0745444444444447,236.85449187589276,41.929015588012994,6,1.0283086080344759,31250.0,12m,,151.2,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",2.694882610858667,0.08601094822694949,1.4870467,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.398932843421022,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,110895,150.03715833333334,2.087394444444445,236.88806015467364,41.98611295930456,6,1.0281605502223823,31250.0,12m,,151.2,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",2.694966372031926,0.08601360997991796,1.4870467,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.396862056742238,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,111647,149.99719166666668,2.0976,236.84568114890635,41.9595299660724,6,1.0284174867495526,31250.0,12m,,151.2,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",2.695032937357461,0.08601572528507952,1.4870467,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.399260547033616,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,116628,150.3314416666667,2.1623694444444443,237.03648265919563,42.2689340349936,6,1.0275763385953296,31250.0,12m,,151.2,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",2.695456253861045,0.08602917738497544,1.4870467,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.387729327308852,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,116737,150.30045833333335,2.1641472222222222,237.01017529018378,42.24479615971607,6,1.0277196933891268,31250.0,12m,,120.96,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",3.291868538372035,0.10506449017790277,1.3129064,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.389222487168903,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,119305,150.35087916666666,2.19645,237.01431353236262,42.304568012531455,6,1.0277897883426752,31250.0,12m,,120.96,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",3.2921270785134453,0.1050727060326118,1.3129064,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.388765206250397,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,121554,149.90955,2.222202777777778,236.64087027759984,41.960404987526026,6,1.0298665824835058,31250.0,12m,,120.96,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",3.29233351921474,0.10507926627714156,1.3129064,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.410295938568926,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,124472,150.27834166666665,2.2588166666666667,236.8887410667822,42.28186799665354,6,1.0286287410381487,31250.0,12m,,120.96,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",3.2926275214562195,0.10508860903884909,1.3129064,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.395535471912387,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
2013.1.00151.S,125764,150.29527083333335,2.2756777777777777,236.88347154288937,42.30543177427561,6,1.0287044961128677,31250.0,12m,,120.96,2016-03-10,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-11-29 10:59:39,"Schinnerer, Eva",5203_a_06_TE,"Tasca, Lidia; Sargent, Mark; Karim, Alexander; Oesch, Pascal; Groves, Brent; Smolcic, Vernesa; Le Fèvre, Olivier; Cassata, Paolo;",3.292763108929747,0.10509291771782497,1.3129064,uid://A001/X146/X5,uid://A001/X146/X6,uid://A002/X955e59/X1727,"The gas content and gas depletion time of massive, normal star forming galaxies beyond z=3",S,TARGET,26.25,6.395720942589833,Y,1,"Lyman Break Galaxies (LBG), Galaxy structure & evolution",Galaxy evolution,2013.1.00151.S
